Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2022,CLE,Lauri Markkanen,CHI,Trade,Koby Altman,Marc Eversley,2023,2022Lauri Markkanen,16.4
2022,POR,Larry Nance Jr.,CLE,Trade,Joe Cronin,Koby Altman,2023,2022Larry Nance Jr.,9.7
2022,BRK,Sekou Doumbouya,DET,Trade,Sean Marks,Troy Weaver,2023,2022Sekou Doumbouya,1.8
2022,BRK,Jahlil Okafor,DET,Trade,Sean Marks,Troy Weaver,2023,2022Jahlil Okafor,1.7
2022,DET,DeAndre Jordan,BRK,Trade,Troy Weaver,Sean Marks,2023,2022DeAndre Jordan,2.6
2022,LAL,Wang Zhelin,MEM,Trade,Rob Pelinka,Zach Kleiman,2023,2022Wang Zhelin,N/A
2022,MEM,Marc Gasol,LAL,Trade,Zach Kleiman,Rob Pelinka,2023,2022Marc Gasol,2.6
2022,BOS,Juancho Hernangómez,MEM,Trade,Brad Stevens,Zach Kleiman,2023,2022Juancho Hernangómez,2.3
2022,MEM,Kris Dunn,BOS,Trade,Zach Kleiman,Brad Stevens,2023,2022Kris Dunn,4
2022,MEM,Carsen Edwards,BOS,Trade,Zach Kleiman,Brad Stevens,2023,2022Carsen Edwards,1.6
2022,BRK,Cash considerations,HOU,Trade,Sean Marks,Rafael Stone,2023,2022Cash considerations,#N/A
2022,BRK,Edmond Sumner,IND,Trade,Sean Marks,Chad Buchanan,2023,2022Edmond Sumner,1.6
2022,CLE,Rajon Rondo,LAL,Trade,Koby Altman,Rob Pelinka,2023,2022Rajon Rondo,1.8
2022,LAL,Louis Labeyrie,CLE,Trade,Rob Pelinka,Koby Altman,2023,2022Louis Labeyrie,N/A
2022,NYK,Denzel Valentine,CLE,Trade,Scott Perry,Koby Altman,2023,2022Denzel Valentine,1.8
2022,OKC,Miye Oni,UTA,Trade,Sam Presti,Justin Zanik,2023,2022Miye Oni,1.7
2022,ATL,Kevin Knox II,NYK,Trade,Travis Schlenk,Scott Perry,2023,2022Kevin Knox II,5.8
2022,NYK,Solomon Hill,ATL,Trade,Scott Perry,Travis Schlenk,2023,2022Solomon Hill,2.4
2022,NYK,Cam Reddish,ATL,Trade,Scott Perry,Travis Schlenk,2023,2022Cam Reddish,4.7
2022,BOS,Bol Bol,DEN,Trade,Brad Stevens,Calvin Booth,2023,2022Bol Bol,2.2
2022,BOS,PJ Dozier,DEN,Trade,Brad Stevens,Calvin Booth,2023,2022PJ Dozier,2
2022,DEN,Bryn Forbes,SAS,Trade,Calvin Booth,Brian Wright,2023,2022Bryn Forbes,4.5
2022,LAC,Robert Covington,POR,Trade,Michael Winger,Joe Cronin,2023,2022Robert Covington,12.3
2022,LAC,Norman Powell,POR,Trade,Michael Winger,Joe Cronin,2023,2022Norman Powell,16
2022,CLE,Caris LeVert,IND,Trade,Koby Altman,Chad Buchanan,2023,2022Caris LeVert,18.8
2022,IND,Ricky Rubio,CLE,Trade,Chad Buchanan,Koby Altman,2023,2022Ricky Rubio,17
