Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
38,DET,Darrun Hilliard,2015,2016,2017,2018
39,CHO,Juan Pablo Vaulet,2015,2016,2017,2018
40,MIA,Josh Richardson,2015,2016,2017,2018
41,BRK,Pat Connaughton,2015,2016,2017,2018
42,UTA,Olivier Hanlan,2015,2016,2017,2018
43,IND,Joe Young,2015,2016,2017,2018
44,PHO,Andrew Harrison,2015,2016,2017,2018
45,BOS,Marcus Thornton,2015,2016,2017,2018
46,MIL,Norman Powell,2015,2016,2017,2018
47,PHI,ArtÅ«ras Gudaitis,2015,2016,2017,2018
48,OKC,Dakari Johnson,2015,2016,2017,2018
49,WAS,Aaron White,2015,2016,2017,2018
50,ATL,Marcus Eriksson,2015,2016,2017,2018
51,ORL,Tyler Harvey,2015,2016,2017,2018
52,DAL,Satnam Singh,2015,2016,2017,2018
53,CLE,Sir'Dominic Pointer,2015,2016,2017,2018
54,UTA,Dani DÃ­ez,2015,2016,2017,2018
55,SAS,Cady Lalanne,2015,2016,2017,2018
56,NOP,Branden Dawson,2015,2016,2017,2018
57,DEN,Nikola RadiÄeviÄ,2015,2016,2017,2018
58,PHI,J.P. Tokoto,2015,2016,2017,2018
59,ATL,Dimitrios Agravanis,2015,2016,2017,2018
60,PHI,Luka MitroviÄ,2015,2016,2017,2018
1,PHI,Ben Simmons,2016,2017,2018,2019
2,LAL,Brandon Ingram,2016,2017,2018,2019
3,BOS,Jaylen Brown,2016,2017,2018,2019
4,PHO,Dragan Bender,2016,2017,2018,2019
5,MIN,Kris Dunn,2016,2017,2018,2019
6,NOP,Buddy Hield,2016,2017,2018,2019
7,DEN,Jamal Murray,2016,2017,2018,2019
8,SAC,Marquese Chriss,2016,2017,2018,2019
9,TOR,Jakob Poeltl,2016,2017,2018,2019
10,MIL,Thon Maker,2016,2017,2018,2019
11,ORL,Domantas Sabonis,2016,2017,2018,2019
12,UTA,Taurean Prince,2016,2017,2018,2019
13,PHO,Georgios Papagiannis,2016,2017,2018,2019
14,CHI,Denzel Valentine,2016,2017,2018,2019
15,DEN,Juancho HernangÃ³mez,2016,2017,2018,2019
16,BOS,Guerschon Yabusele,2016,2017,2018,2019
17,MEM,Wade Baldwin,2016,2017,2018,2019
18,DET,Henry Ellenson,2016,2017,2018,2019
19,DEN,Malik Beasley,2016,2017,2018,2019
20,IND,Caris LeVert,2016,2017,2018,2019
21,ATL,DeAndre' Bembry,2016,2017,2018,2019
22,CHO,Malachi Richardson,2016,2017,2018,2019
23,BOS,Ante Å½iÅ¾iÄ,2016,2017,2018,2019
24,PHI,TimothÃ© Luwawu-Cabarrot,2016,2017,2018,2019
25,LAC,Brice Johnson,2016,2017,2018,2019
26,PHI,Furkan Korkmaz,2016,2017,2018,2019
27,TOR,Pascal Siakam,2016,2017,2018,2019
28,PHO,Skal LabissiÃ¨re,2016,2017,2018,2019
29,SAS,Dejounte Murray,2016,2017,2018,2019
30,GSW,Damian Jones,2016,2017,2018,2019
,,Round 2,2016,2017,2018,2019
Pk,Tm,Player,2016,2017,2018,2019
31,BOS,Deyonta Davis,2016,2017,2018,2019
32,LAL,Ivica Zubac,2016,2017,2018,2019
33,LAC,Cheick Diallo,2016,2017,2018,2019
34,PHO,Tyler Ulis,2016,2017,2018,2019
35,BOS,Rade Zagorac,2016,2017,2018,2019
36,MIL,Malcolm Brogdon,2016,2017,2018,2019
37,HOU,Chinanu Onuaku,2016,2017,2018,2019
38,MIL,Patrick McCaw,2016,2017,2018,2019
39,NOP,David Michineau,2016,2017,2018,2019
40,NOP,Diamond Stone,2016,2017,2018,2019
41,ORL,Stephen Zimmerman,2016,2017,2018,2019
42,UTA,Isaiah Whitehead,2016,2017,2018,2019
43,HOU,Zhou Qi,2016,2017,2018,2019
44,ATL,IsaÃ¯a Cordinier,2016,2017,2018,2019
45,BOS,Demetrius Jackson,2016,2017,2018,2019
46,DAL,A.J. Hammons,2016,2017,2018,2019
47,ORL,Jake Layman,2016,2017,2018,2019
48,CHI,Paul Zipser,2016,2017,2018,2019
49,DET,Michael Gbinije,2016,2017,2018,2019
50,IND,Georges Niang,2016,2017,2018,2019
51,BOS,Ben Bentil,2016,2017,2018,2019
52,UTA,Joel Bolomboy,2016,2017,2018,2019
53,DEN,Petr Cornelie,2016,2017,2018,2019
54,ATL,Kay Felder,2016,2017,2018,2019
55,BRK,Marcus Paige,2016,2017,2018,2019
56,DEN,Daniel Hamilton,2016,2017,2018,2019
57,MEM,Wang Zhelin,2016,2017,2018,2019
58,BOS,Abdel Nader,2016,2017,2018,2019
59,SAC,Isaiah Cousins,2016,2017,2018,2019
60,UTA,Tyrone Wallace,2016,2017,2018,2019
1,PHI,Markelle Fultz,2017,2018,2019,2020
2,LAL,Lonzo Ball,2017,2018,2019,2020
